2020-11-21T07:29:05.611Z,ZInitializing Gyro
2020-11-21T07:29:05.643Z,Testing Gyro connections...
2020-11-21T07:29:05.675Z,Gyro connection successful
2020-11-21T07:29:05.707Z,Calibration ACCELERO...
2020-11-21T07:29:09.918Z,-0.00,0.00
2020-11-21T07:29:09.934Z,0.01,-0.00
2020-11-21T07:29:09.950Z,0.00,0.00
2020-11-21T07:29:09.956Z,0.00,0.00
2020-11-21T07:29:09.967Z,-0.00,-0.00
2020-11-21T07:29:09.982Z,-0.00,-0.00
2020-11-21T07:29:09.998Z,-0.00,0.00
2020-11-21T07:29:10.014Z,-0.00,-0.00
2020-11-21T07:29:10.030Z,-0.00,-0.00
2020-11-21T07:29:10.030Z,-0.00,0.00
2020-11-21T07:29:10.046Z,-0.00,-0.00
2020-11-21T07:29:10.062Z,-0.00,0.01
2020-11-21T07:29:10.078Z,-0.00,-0.00
2020-11-21T07:29:10.094Z,-0.00,0.00
2020-11-21T07:29:10.094Z,0.00,0.00
2020-11-21T07:29:10.110Z,-0.00,0.01
2020-11-21T07:29:10.125Z,0.00,0.00
2020-11-21T07:29:10.142Z,0.00,0.00
2020-11-21T07:29:10.142Z,-0.00,-0.00
2020-11-21T07:29:10.157Z,-0.00,-0.00
2020-11-21T07:29:10.173Z,-0.00,-0.00
2020-11-21T07:29:10.189Z,-0.00,-0.00
2020-11-21T07:29:10.205Z,0.00,0.00
2020-11-21T07:29:10.207Z,0.00,0.00
2020-11-21T07:29:10.221Z,0.00,-0.00
2020-11-21T07:29:10.237Z,-0.00,-0.00
2020-11-21T07:29:10.253Z,-0.00,0.00
2020-11-21T07:29:10.269Z,-0.00,-0.00
2020-11-21T07:29:10.285Z,-0.00,-0.00
2020-11-21T07:29:10.290Z,0.00,-0.00
2020-11-21T07:29:10.301Z,-0.00,-0.00
2020-11-21T07:29:10.317Z,0.00,0.00
2020-11-21T07:29:10.335Z,0.00,0.00
2020-11-21T07:29:10.336Z,0.01,0.00
2020-11-21T07:29:10.349Z,0.00,-0.01
2020-11-21T07:29:10.404Z,0.00,0.00
2020-11-21T07:29:10.404Z,-0.00,0.00
2020-11-21T07:29:10.405Z,-0.00,0.00
