2020-11-20T06:45:05.774Z,�Initializing Gyro
2020-11-20T06:45:05.807Z,Testing Gyro connections...
2020-11-20T06:45:05.875Z,Gyro connection successful
2020-11-20T06:45:05.972Z,Calibration ACCELERO...
2020-11-20T06:45:10.144Z,0.00,0.00
2020-11-20T06:45:10.146Z,-0.00,0.01
2020-11-20T06:45:10.151Z,0.00,0.00
2020-11-20T06:45:10.161Z,0.00,0.00
2020-11-20T06:45:10.163Z,0.00,-0.00
2020-11-20T06:45:10.181Z,0.00,0.00
2020-11-20T06:45:10.208Z,-0.00,0.01
2020-11-20T06:45:10.285Z,-0.00,-0.00
2020-11-20T06:45:10.321Z,-0.00,0.01
2020-11-20T06:45:10.336Z,0.00,0.01
2020-11-20T06:45:10.366Z,0.00,0.00
2020-11-20T06:45:10.458Z,-0.00,0.00
2020-11-20T06:45:10.469Z,-0.00,0.00
2020-11-20T06:45:10.490Z,-0.00,-0.00
2020-11-20T06:45:10.494Z,0.00,0.01
2020-11-20T06:45:10.502Z,0.00,-0.01
2020-11-20T06:45:10.520Z,-0.00,0.00
2020-11-20T06:45:10.560Z,0.00,-0.00
2020-11-20T06:45:10.588Z,0.00,0.01
2020-11-20T06:45:10.617Z,-0.00,0.01
2020-11-20T06:45:10.627Z,-0.00,-0.00
2020-11-20T06:45:10.634Z,0.00,0.00
2020-11-20T06:45:10.645Z,0.00,0.00
2020-11-20T06:45:10.656Z,-0.00,0.00
2020-11-20T06:45:10.669Z,-0.00,0.00
2020-11-20T06:45:10.752Z,0.00,0.01
2020-11-20T06:45:10.786Z,0.00,0.00
2020-11-20T06:45:10.808Z,-0.00,-0.01
2020-11-20T06:45:10.828Z,0.00,0.00
2020-11-20T06:45:10.840Z,-0.00,0.00
2020-11-20T06:45:10.910Z,-0.00,0.00
2020-11-20T06:45:10.951Z,-0.00,0.01
2020-11-20T06:45:10.970Z,-0.00,0.00
2020-11-20T06:45:11.034Z,-0.00,-0.00
2020-11-20T06:45:11.103Z,0.00,0.00
2020-11-20T06:45:11.109Z,-0.00,0.01
2020-11-20T06:45:11.129Z,0.01,-0.00
2020-11-20T06:45:11.157Z,-0.00,0.01
2020-11-20T06:45:11.172Z,-0.00,-0.00
2020-11-20T06:45:11.207Z,-0.00,0.00
2020-11-20T06:45:11.234Z,0.00,0.00
2020-11-20T06:45:11.332Z,-0.00,0.01
2020-11-20T06:45:11.353Z,-0.00,0.01
2020-11-20T06:45:11.358Z,-0.00,0.01
2020-11-20T06:45:11.360Z,-0.00,0.00
2020-11-20T06:45:11.361Z,0.00,-0.00
2020-11-20T06:45:11.389Z,-0.00,0.00
2020-11-20T06:45:11.394Z,-0.00,0.00
2020-11-20T06:45:11.397Z,0.00,0.00
2020-11-20T06:45:11.400Z,0.00,-0.00
2020-11-20T06:45:11.422Z,0.00,0.00
2020-11-20T06:45:11.442Z,0.00,-0.00
2020-11-20T06:45:11.443Z,-0.00,0.00
2020-11-20T06:45:11.444Z,-0.00,0.01
2020-11-20T06:45:11.445Z,-0.00,-0.00
2020-11-20T06:45:11.445Z,-0.00,0.00
2020-11-20T06:45:11.446Z,0.00,0.01
2020-11-20T06:45:11.447Z,0.00,-0.00
2020-11-20T06:45:11.451Z,-0.00,0.01
2020-11-20T06:45:11.464Z,-0.00,0.00
2020-11-20T06:45:11.468Z,-0.00,0.00
2020-11-20T06:45:11.483Z,-0.00,-0.00
2020-11-20T06:45:11.487Z,-0.00,0.00
2020-11-20T06:45:11.491Z,0.00,0.00
2020-11-20T06:45:11.497Z,-0.00,-0.00
2020-11-20T06:45:11.513Z,0.00,0.00
2020-11-20T06:45:11.514Z,0.00,0.00
2020-11-20T06:45:11.528Z,0.00,0.00
2020-11-20T06:45:11.574Z,0.00,0.00
2020-11-20T06:45:11.577Z,0.00,0.01
2020-11-20T06:45:11.589Z,-0.00,-0.00
2020-11-20T06:45:11.594Z,-0.00,0.01
2020-11-20T06:45:11.599Z,-0.00,0.00
2020-11-20T06:45:11.608Z,-0.00,0.00
