timestamp,x,z
2020-11-19T11:18:58.160Z,0.03,0.02
2020-11-19T11:18:58.176Z,0.03,0.03
2020-11-19T11:18:58.191Z,0.03,0.03
2020-11-19T11:18:58.207Z,0.03,0.04
2020-11-19T11:18:58.209Z,0.03,0.05
2020-11-19T11:18:58.223Z,0.04,0.04
2020-11-19T11:18:58.239Z,0.04,0.05
2020-11-19T11:18:58.240Z,0.04,0.04
2020-11-19T11:18:58.255Z,0.02,0.08
2020-11-19T11:18:58.271Z,0.05,0.04
2020-11-19T11:18:58.287Z,0.06,0.04
2020-11-19T11:18:58.289Z,0.04,0.05
2020-11-19T11:18:58.303Z,0.03,0.05
2020-11-19T11:18:58.319Z,0.04,0.04
2020-11-19T11:18:58.323Z,0.02,0.04
2020-11-19T11:18:58.335Z,0.02,0.02
2020-11-19T11:18:58.351Z,0.03,0.04
2020-11-19T11:18:58.367Z,0.03,0.04
2020-11-19T11:18:58.372Z,0.03,0.05
2020-11-19T11:18:58.383Z,0.02,0.04
2020-11-19T11:18:58.399Z,0.03,0.03
2020-11-19T11:18:58.399Z,0.04,0.02
2020-11-19T11:18:58.415Z,0.05,0.02
2020-11-19T11:18:58.431Z,0.05,0.03
2020-11-19T11:18:58.447Z,0.05,0.03
2020-11-19T11:18:58.447Z,0.05,0.03
2020-11-19T11:18:58.463Z,0.03,0.04
2020-11-19T11:18:58.478Z,0.02,0.05
2020-11-19T11:18:58.495Z,0.02,0.03
2020-11-19T11:18:58.495Z,0.02,0.03
2020-11-19T11:18:58.511Z,0.03,0.03
2020-11-19T11:18:58.527Z,0.03,0.03
2020-11-19T11:18:58.527Z,0.06,0.02
2020-11-19T11:18:58.543Z,0.06,0.03
2020-11-19T11:18:58.558Z,0.06,0.04
2020-11-19T11:18:58.574Z,0.03,0.04
2020-11-19T11:18:58.575Z,0.02,0.03
2020-11-19T11:18:58.590Z,0.01,0.02
2020-11-19T11:18:58.606Z,-0.00,0.04
2020-11-19T11:18:58.610Z,0.01,0.03
2020-11-19T11:18:58.622Z,0.04,0.04
2020-11-19T11:18:58.638Z,0.04,0.02
2020-11-19T11:18:58.654Z,0.04,0.04
2020-11-19T11:18:58.659Z,0.06,0.03
2020-11-19T11:18:58.670Z,0.04,0.04
2020-11-19T11:18:58.686Z,0.05,0.03
2020-11-19T11:18:58.702Z,0.04,0.03
2020-11-19T11:18:58.709Z,0.03,0.03
2020-11-19T11:18:58.718Z,0.03,0.03
2020-11-19T11:18:58.734Z,0.02,0.04
2020-11-19T11:18:58.744Z,0.01,0.04
2020-11-19T11:18:58.750Z,0.04,0.03
2020-11-19T11:18:58.766Z,0.05,0.01
2020-11-19T11:18:58.782Z,0.02,0.06
2020-11-19T11:18:58.783Z,0.04,0.08
2020-11-19T11:18:58.798Z,0.08,0.03
2020-11-19T11:18:58.814Z,0.03,0.05
2020-11-19T11:18:58.815Z,0.02,0.05
2020-11-19T11:18:58.830Z,0.04,0.05
2020-11-19T11:18:58.846Z,0.02,0.07
2020-11-19T11:18:58.862Z,0.02,0.06
2020-11-19T11:18:58.863Z,0.04,0.04
2020-11-19T11:18:58.878Z,0.04,0.05
2020-11-19T11:18:58.893Z,0.03,0.06
2020-11-19T11:18:58.894Z,0.03,0.07
2020-11-19T11:18:58.909Z,0.03,0.08
2020-11-19T11:18:58.925Z,0.03,0.07
2020-11-19T11:18:58.941Z,0.03,0.07
2020-11-19T11:18:58.942Z,0.02,0.07
2020-11-19T11:18:58.957Z,0.02,0.07
2020-11-19T11:18:58.973Z,0.03,0.08
2020-11-19T11:18:58.989Z,0.04,0.08
2020-11-19T11:18:58.990Z,0.04,0.10
2020-11-19T11:18:59.005Z,0.04,0.09
