2020-11-19T11:32:08.464Z,3Initializing Gyro
2020-11-19T11:32:08.496Z,Testing Gyro connections...
2020-11-19T11:32:08.528Z,Gyro connection successful
2020-11-19T11:32:08.560Z,Calibration ACCELERO...
2020-11-19T11:32:12.771Z,-0.06,0.57
2020-11-19T11:32:12.787Z,-0.06,0.57
2020-11-19T11:32:12.803Z,-0.06,0.57
2020-11-19T11:32:12.803Z,-0.06,0.56
2020-11-19T11:32:12.819Z,-0.05,0.55
2020-11-19T11:32:12.835Z,-0.05,0.54
2020-11-19T11:32:12.850Z,-0.04,0.55
2020-11-19T11:32:12.866Z,-0.05,0.55
2020-11-19T11:32:12.867Z,-0.06,0.56
2020-11-19T11:32:12.882Z,-0.06,0.56
2020-11-19T11:32:12.898Z,-0.07,0.57
2020-11-19T11:32:12.917Z,-0.06,0.56
2020-11-19T11:32:12.930Z,-0.06,0.56
2020-11-19T11:32:12.931Z,-0.05,0.56
2020-11-19T11:32:12.946Z,-0.05,0.55
2020-11-19T11:32:12.962Z,-0.05,0.55
2020-11-19T11:32:12.979Z,-0.04,0.55
2020-11-19T11:32:12.982Z,-0.05,0.55
2020-11-19T11:32:12.994Z,-0.06,0.56
2020-11-19T11:32:13.010Z,-0.06,0.56
2020-11-19T11:32:13.026Z,-0.06,0.57
2020-11-19T11:32:13.042Z,-0.06,0.57
2020-11-19T11:32:13.045Z,-0.06,0.56
2020-11-19T11:32:13.058Z,-0.05,0.56
2020-11-19T11:32:13.074Z,-0.05,0.56
2020-11-19T11:32:13.090Z,-0.05,0.55
2020-11-19T11:32:13.106Z,-0.04,0.55
2020-11-19T11:32:13.107Z,-0.05,0.55
2020-11-19T11:32:13.122Z,-0.06,0.56
2020-11-19T11:32:13.138Z,-0.06,0.56
2020-11-19T11:32:13.154Z,-0.06,0.56
2020-11-19T11:32:13.155Z,-0.06,0.56
2020-11-19T11:32:13.169Z,-0.05,0.57
2020-11-19T11:32:13.185Z,-0.05,0.56
2020-11-19T11:32:13.201Z,-0.04,0.56
2020-11-19T11:32:13.217Z,-0.04,0.55
2020-11-19T11:32:13.218Z,-0.05,0.55
2020-11-19T11:32:13.233Z,-0.06,0.55
2020-11-19T11:32:13.249Z,-0.06,0.56
2020-11-19T11:32:13.265Z,-0.06,0.56
2020-11-19T11:32:13.281Z,-0.06,0.57
2020-11-19T11:32:13.282Z,-0.06,0.56
2020-11-19T11:32:13.297Z,-0.06,0.56
2020-11-19T11:32:13.313Z,-0.05,0.56
2020-11-19T11:32:13.329Z,-0.05,0.55
2020-11-19T11:32:13.330Z,-0.05,0.55
2020-11-19T11:32:13.345Z,-0.05,0.56
2020-11-19T11:32:13.361Z,-0.05,0.56
2020-11-19T11:32:13.377Z,-0.06,0.57
2020-11-19T11:32:13.393Z,-0.06,0.57
2020-11-19T11:32:13.395Z,-0.06,0.57
2020-11-19T11:32:13.409Z,-0.06,0.57
2020-11-19T11:32:13.425Z,-0.05,0.56
2020-11-19T11:32:13.441Z,-0.05,0.56
2020-11-19T11:32:13.457Z,-0.05,0.56
2020-11-19T11:32:13.462Z,-0.05,0.56
2020-11-19T11:32:13.473Z,-0.05,0.56
2020-11-19T11:32:13.488Z,-0.05,0.55
2020-11-19T11:32:13.504Z,-0.06,0.56
2020-11-19T11:32:13.505Z,-0.06,0.57
2020-11-19T11:32:13.520Z,-0.05,0.57
2020-11-19T11:32:13.536Z,-0.06,0.57
2020-11-19T11:32:13.552Z,-0.05,0.58
2020-11-19T11:32:13.568Z,-0.05,0.56
2020-11-19T11:32:13.569Z,-0.05,0.57
2020-11-19T11:32:13.584Z,-0.05,0.56
2020-11-19T11:32:13.600Z,-0.05,0.54
2020-11-19T11:32:13.616Z,-0.05,0.54
2020-11-19T11:32:13.632Z,-0.05,0.55
2020-11-19T11:32:13.632Z,-0.06,0.55
2020-11-19T11:32:13.648Z,-0.07,0.56
2020-11-19T11:32:13.664Z,-0.05,0.56
2020-11-19T11:32:13.680Z,-0.06,0.57
2020-11-19T11:32:13.680Z,-0.05,0.57
2020-11-19T11:32:13.696Z,-0.06,0.57
2020-11-19T11:32:13.712Z,-0.06,0.56
2020-11-19T11:32:13.728Z,-0.06,0.55
2020-11-19T11:32:13.744Z,-0.05,0.55
2020-11-19T11:32:13.744Z,-0.06,0.55
2020-11-19T11:32:13.760Z,-0.05,0.55
2020-11-19T11:32:13.776Z,-0.05,0.55
2020-11-19T11:32:13.792Z,-0.06,0.56
2020-11-19T11:32:13.808Z,-0.06,0.56
2020-11-19T11:32:13.811Z,-0.05,0.57
2020-11-19T11:32:13.824Z,-0.06,0.56
2020-11-19T11:32:13.839Z,-0.05,0.56
2020-11-19T11:32:13.856Z,-0.05,0.55
2020-11-19T11:32:13.856Z,-0.05,0.56
2020-11-19T11:32:13.871Z,-0.05,0.55
2020-11-19T11:32:13.887Z,-0.05,0.56
2020-11-19T11:32:13.903Z,-0.05,0.56
2020-11-19T11:32:13.919Z,-0.05,0.56
2020-11-19T11:32:13.920Z,-0.06,0.56
2020-11-19T11:32:13.935Z,-0.06,0.56
2020-11-19T11:32:13.951Z,-0.06,0.56
2020-11-19T11:32:13.967Z,-0.05,0.56
2020-11-19T11:32:13.983Z,-0.05,0.56
2020-11-19T11:32:13.985Z,-0.05,0.56
2020-11-19T11:32:13.999Z,-0.05,0.55
2020-11-19T11:32:14.015Z,-0.05,0.56
2020-11-19T11:32:14.031Z,-0.06,0.56
2020-11-19T11:32:14.032Z,-0.06,0.55
2020-11-19T11:32:14.047Z,-0.06,0.56
2020-11-19T11:32:14.063Z,-0.05,0.56
2020-11-19T11:32:14.079Z,-0.06,0.56
2020-11-19T11:32:14.095Z,-0.05,0.57
2020-11-19T11:32:14.096Z,-0.05,0.56
2020-11-19T11:32:14.111Z,-0.05,0.56
2020-11-19T11:32:14.127Z,-0.05,0.55
2020-11-19T11:32:14.143Z,-0.05,0.56
