timestamp,degree
2020-11-13T08:57:26.165Z,0.50
2020-11-13T08:57:26.180Z,0.50
2020-11-13T08:57:26.194Z,0.50
2020-11-13T08:57:26.195Z,0.50
2020-11-13T08:57:26.199Z,0.50
2020-11-13T08:57:26.206Z,0.50
2020-11-13T08:57:26.212Z,0.50
2020-11-13T08:57:26.213Z,0.50
2020-11-13T08:57:26.221Z,0.50
2020-11-13T08:57:26.228Z,0.50
2020-11-13T08:57:26.229Z,0.48
2020-11-13T08:57:26.244Z,0.48
2020-11-13T08:57:26.245Z,0.48
2020-11-13T08:57:26.245Z,0.48
2020-11-13T08:57:26.260Z,0.48
2020-11-13T08:57:26.261Z,0.48
2020-11-13T08:57:26.276Z,0.48
2020-11-13T08:57:26.277Z,0.48
2020-11-13T08:57:26.277Z,0.48
2020-11-13T08:57:26.292Z,0.48
2020-11-13T08:57:26.293Z,0.45
2020-11-13T08:57:26.293Z,0.45
2020-11-13T08:57:26.308Z,0.45
2020-11-13T08:57:26.309Z,0.45
2020-11-13T08:57:26.324Z,0.45
2020-11-13T08:57:26.325Z,0.45
2020-11-13T08:57:26.326Z,0.45
2020-11-13T08:57:26.340Z,0.45
2020-11-13T08:57:26.341Z,0.45
2020-11-13T08:57:26.356Z,0.45
2020-11-13T08:57:26.356Z,0.59
2020-11-13T08:57:26.357Z,0.59
2020-11-13T08:57:26.372Z,0.59
2020-11-13T08:57:26.373Z,0.59
2020-11-13T08:57:26.387Z,0.59
2020-11-13T08:57:26.388Z,0.59
2020-11-13T08:57:26.389Z,0.59
2020-11-13T08:57:26.403Z,0.59
2020-11-13T08:57:26.404Z,0.59
2020-11-13T08:57:26.419Z,0.59
2020-11-13T08:57:26.420Z,0.57
2020-11-13T08:57:26.421Z,0.57
2020-11-13T08:57:26.435Z,0.57
2020-11-13T08:57:26.437Z,0.57
2020-11-13T08:57:26.451Z,0.57
2020-11-13T08:57:26.453Z,0.57
2020-11-13T08:57:26.454Z,0.57
2020-11-13T08:57:26.467Z,0.57
2020-11-13T08:57:26.470Z,0.57
2020-11-13T08:57:26.470Z,0.57
2020-11-13T08:57:26.483Z,0.55
2020-11-13T08:57:26.486Z,0.55
2020-11-13T08:57:26.499Z,0.55
2020-11-13T08:57:26.503Z,0.55
2020-11-13T08:57:26.503Z,0.55
2020-11-13T08:57:26.515Z,0.55
2020-11-13T08:57:26.520Z,0.55
2020-11-13T08:57:26.531Z,0.55
2020-11-13T08:57:26.537Z,0.55
2020-11-13T08:57:26.537Z,0.55
2020-11-13T08:57:26.547Z,0.38
2020-11-13T08:57:26.554Z,0.38
2020-11-13T08:57:26.563Z,0.38
2020-11-13T08:57:26.567Z,0.38
2020-11-13T08:57:26.568Z,0.38
2020-11-13T08:57:26.579Z,0.38
2020-11-13T08:57:26.579Z,0.38
2020-11-13T08:57:26.595Z,0.38
2020-11-13T08:57:26.595Z,0.38
2020-11-13T08:57:26.596Z,0.38
2020-11-13T08:57:26.611Z,0.59
2020-11-13T08:57:26.611Z,0.59
2020-11-13T08:57:26.627Z,0.59
2020-11-13T08:57:26.627Z,0.59
2020-11-13T08:57:26.628Z,0.59
2020-11-13T08:57:26.642Z,0.59
2020-11-13T08:57:26.643Z,0.59
2020-11-13T08:57:26.643Z,0.59
2020-11-13T08:57:26.658Z,0.59
2020-11-13T08:57:26.659Z,0.59
2020-11-13T08:57:26.674Z,0.68
2020-11-13T08:57:26.675Z,0.68
2020-11-13T08:57:26.675Z,0.68
2020-11-13T08:57:26.690Z,0.68
2020-11-13T08:57:26.691Z,0.68
2020-11-13T08:57:26.706Z,0.68
2020-11-13T08:57:26.707Z,0.68
2020-11-13T08:57:26.707Z,0.68
2020-11-13T08:57:26.722Z,0.68
2020-11-13T08:57:26.723Z,0.68
2020-11-13T08:57:26.738Z,0.45
2020-11-13T08:57:26.739Z,0.45
2020-11-13T08:57:26.739Z,0.45
2020-11-13T08:57:26.754Z,0.45
2020-11-13T08:57:26.755Z,0.45
2020-11-13T08:57:26.770Z,0.45
2020-11-13T08:57:26.771Z,0.45
2020-11-13T08:57:26.772Z,0.45
2020-11-13T08:57:26.786Z,0.45
2020-11-13T08:57:26.788Z,0.45
2020-11-13T08:57:26.802Z,0.40
2020-11-13T08:57:26.804Z,0.40
2020-11-13T08:57:26.805Z,0.40
2020-11-13T08:57:26.818Z,0.40
2020-11-13T08:57:26.820Z,0.40
2020-11-13T08:57:26.821Z,0.40
2020-11-13T08:57:26.834Z,0.40
2020-11-13T08:57:26.838Z,0.40
2020-11-13T08:57:26.850Z,0.40
2020-11-13T08:57:26.853Z,0.40
2020-11-13T08:57:26.854Z,0.62
2020-11-13T08:57:26.866Z,0.62
2020-11-13T08:57:26.870Z,0.62
2020-11-13T08:57:26.882Z,0.62
2020-11-13T08:57:26.887Z,0.62
2020-11-13T08:57:26.888Z,0.62
2020-11-13T08:57:26.898Z,0.62
2020-11-13T08:57:26.903Z,0.62
