timestamp,x,z
2020-11-19T18:33:31.009,0.985,0.0642
2020-11-19T18:33:31.034,1.014,0.0775
2020-11-19T18:33:31.059,0.99,0.0734
2020-11-19T18:33:31.084,1.01,0.0663
2020-11-19T18:33:31.109,0.999,0.0602
2020-11-19T18:33:31.134,1.003,0.0632
2020-11-19T18:33:31.159,1.002,0.0765
2020-11-19T18:33:31.184,1.003,0.0765
2020-11-19T18:33:31.209,1.006,0.0693
2020-11-19T18:33:31.234,0.994,0.0581
2020-11-19T18:33:31.259,1.01,0.0612
2020-11-19T18:33:31.284,0.992,0.0724
2020-11-19T18:33:31.309,1.01,0.0755
2020-11-19T18:33:31.334,0.994,0.0724
2020-11-19T18:33:31.359,1.003,0.0612
2020-11-19T18:33:31.384,1.004,0.0632
2020-11-19T18:33:31.409,0.998,0.0724
2020-11-19T18:33:31.434,1.004,0.0724
2020-11-19T18:33:31.459,0.996,0.0693
2020-11-19T18:33:31.484,1.005,0.0632
2020-11-19T18:33:31.509,1,0.0653
2020-11-19T18:33:31.534,1.002,0.0724
2020-11-19T18:33:31.559,1.001,0.0755
2020-11-19T18:33:31.584,0.998,0.0683
2020-11-19T18:33:31.609,1.003,0.0612
2020-11-19T18:33:31.634,0.997,0.0704
2020-11-19T18:33:31.659,1.005,0.0642
2020-11-19T18:33:31.684,0.998,0.0693
2020-11-19T18:33:31.709,1.003,0.0724
2020-11-19T18:33:31.734,1.001,0.0704
2020-11-19T18:33:31.759,1.002,0.0693
2020-11-19T18:33:31.784,0.999,0.0683
2020-11-19T18:33:31.809,1,0.0744
2020-11-19T18:33:31.834,1.002,0.0714
2020-11-19T18:33:31.859,1,0.0704
2020-11-19T18:33:31.884,1.005,0.0683
2020-11-19T18:33:31.909,1,0.0683
2020-11-19T18:33:31.934,1.002,0.0724
2020-11-19T18:33:31.959,1.008,0.0398
2020-11-19T18:33:31.984,0.999,0.054
2020-11-19T18:33:32.009,0.97,0.1326
2020-11-19T18:33:32.034,0.975,0.1132
2020-11-19T18:33:32.059,0.998,-0.0031
2020-11-19T18:33:32.084,1.014,-0.0133
2020-11-19T18:33:32.109,1.01,0.0693
2020-11-19T18:33:32.134,1.002,0.1275
2020-11-19T18:33:32.159,0.984,0.1315
2020-11-19T18:33:32.184,1.014,0.0551
2020-11-19T18:33:32.209,0.995,-0.0031
2020-11-19T18:33:32.234,1.022,0.0255
2020-11-19T18:33:32.259,0.998,0.1101
2020-11-19T18:33:32.284,0.989,0.1336
2020-11-19T18:33:32.309,0.995,0.0673
2020-11-19T18:33:32.334,1.003,0.0112
2020-11-19T18:33:32.359,1.011,0.0326
2020-11-19T18:33:32.384,0.999,0.0908
2020-11-19T18:33:32.409,1.001,0.1203
2020-11-19T18:33:32.434,1.011,0.0214
2020-11-19T18:33:32.459,1.016,0.0214
2020-11-19T18:33:32.484,0.998,0.0449
2020-11-19T18:33:32.509,1.003,0.1061
2020-11-19T18:33:32.534,0.999,0.1081
2020-11-19T18:33:32.559,1.006,0.05
2020-11-19T18:33:32.584,1.02,0.0214
2020-11-19T18:33:32.609,1.015,0.0143
2020-11-19T18:33:32.634,1.008,0.053
2020-11-19T18:33:32.659,0.999,0.0673
2020-11-19T18:33:32.684,1.004,0.051
2020-11-19T18:33:32.709,0.995,0.0204
2020-11-19T18:33:32.735,1.018,-0.001
2020-11-19T18:33:32.759,0.995,0.0122
2020-11-19T18:33:32.784,1.005,0.0408
2020-11-19T18:33:32.809,0.98,0.0377
2020-11-19T18:33:32.834,1.015,-0.0112
2020-11-19T18:33:32.859,0.967,-0.0581
2020-11-19T18:33:32.884,1.032,-0.0255
2020-11-19T18:33:32.909,0.998,0.0469
2020-11-19T18:33:32.934,1.02,0.0857
2020-11-19T18:33:32.959,0.94,0.0092
2020-11-19T18:33:32.984,1.017,-0.0897
2020-11-19T18:33:33.009,0.97,-0.101
2020-11-19T18:33:33.034,1.019,-0.0561
2020-11-19T18:33:33.059,0.963,-0.0367
2020-11-19T18:33:33.084,0.992,-0.101
2020-11-19T18:33:33.109,0.962,-0.1805
2020-11-19T18:33:33.134,0.981,-0.2111
2020-11-19T18:33:33.159,0.98,-0.1866
2020-11-19T18:33:33.184,0.97,-0.1785
2020-11-19T18:33:33.210,0.99,-0.2529
2020-11-19T18:33:33.234,0.952,-0.3375
2020-11-19T18:33:33.260,0.936,-0.36
2020-11-19T18:33:33.284,0.932,-0.3865
2020-11-19T18:33:33.309,0.934,-0.3885
2020-11-19T18:33:33.334,0.937,-0.4038
2020-11-19T18:33:33.359,0.891,-0.4579
2020-11-19T18:33:33.384,0.873,-0.5109
2020-11-19T18:33:33.409,0.864,-0.5384
2020-11-19T18:33:33.434,0.858,-0.5598
2020-11-19T18:33:33.459,0.829,-0.5761
2020-11-19T18:33:33.484,0.818,-0.6169
2020-11-19T18:33:33.509,0.821,-0.6434
2020-11-19T18:33:33.534,0.79,-0.6751
2020-11-19T18:33:33.559,0.773,-0.6873
2020-11-19T18:33:33.584,0.731,-0.7189
2020-11-19T18:33:33.609,0.725,-0.7505
2020-11-19T18:33:33.634,0.695,-0.7607
2020-11-19T18:33:33.659,0.688,-0.778
2020-11-19T18:33:33.684,0.639,-0.8025
2020-11-19T18:33:33.709,0.617,-0.8351
2020-11-19T18:33:33.734,0.625,-0.8372
2020-11-19T18:33:33.759,0.604,-0.8341
2020-11-19T18:33:33.784,0.569,-0.8504
2020-11-19T18:33:33.809,0.56,-0.8729
2020-11-19T18:33:33.834,0.533,-0.881
2020-11-19T18:33:33.859,0.52,-0.9014
2020-11-19T18:33:33.884,0.505,-0.878
2020-11-19T18:33:33.909,0.525,-0.9371
2020-11-19T18:33:33.934,0.49,-0.9147
2020-11-19T18:33:33.959,0.488,-0.9045
2020-11-19T18:33:33.984,0.465,-0.9157
2020-11-19T18:33:34.009,0.465,-0.931
2020-11-19T18:33:34.034,0.458,-0.9208
2020-11-19T18:33:34.059,0.45,-0.9147
2020-11-19T18:33:34.084,0.447,-0.9208
2020-11-19T18:33:34.109,0.429,-0.9249
2020-11-19T18:33:34.134,0.435,-0.932
2020-11-19T18:33:34.159,0.445,-0.933
2020-11-19T18:33:34.184,0.428,-0.931
2020-11-19T18:33:34.209,0.426,-0.93
2020-11-19T18:33:34.234,0.428,-0.929
2020-11-19T18:33:34.259,0.425,-0.93
2020-11-19T18:33:34.284,0.422,-0.931
2020-11-19T18:33:34.309,0.413,-0.9422
2020-11-19T18:33:34.334,0.417,-0.932
2020-11-19T18:33:34.359,0.434,-0.9351
2020-11-19T18:33:34.384,0.428,-0.932
2020-11-19T18:33:34.409,0.422,-0.9361
2020-11-19T18:33:34.434,0.421,-0.9422
2020-11-19T18:33:34.459,0.434,-0.9341
2020-11-19T18:33:34.484,0.452,-0.9249
2020-11-19T18:33:34.509,0.453,-0.93
2020-11-19T18:33:34.534,0.438,-0.929
2020-11-19T18:33:34.559,0.451,-0.93
2020-11-19T18:33:34.584,0.471,-0.9218
2020-11-19T18:33:34.609,0.483,-0.9106
2020-11-19T18:33:34.634,0.495,-0.9024
2020-11-19T18:33:34.659,0.5,-0.9014
2020-11-19T18:33:34.684,0.516,-0.9075
2020-11-19T18:33:34.709,0.535,-0.8902
2020-11-19T18:33:34.734,0.561,-0.8739
2020-11-19T18:33:34.759,0.582,-0.8647
2020-11-19T18:33:34.784,0.59,-0.8637
2020-11-19T18:33:34.809,0.607,-0.8311
2020-11-19T18:33:34.834,0.643,-0.8168
2020-11-19T18:33:34.859,0.647,-0.7903
2020-11-19T18:33:34.884,0.681,-0.7658
2020-11-19T18:33:34.909,0.705,-0.7515
2020-11-19T18:33:34.935,0.822,-0.7128
2020-11-19T18:33:34.959,0.743,-0.722
2020-11-19T18:33:34.984,0.763,-0.6975
