2020-11-19T11:18:07.921Z,���Initializing Gyro
2020-11-19T11:18:07.953Z,Testing Gyro connections...
2020-11-19T11:18:07.985Z,Gyro connection successful
2020-11-19T11:18:08.017Z,Calibration ACCELERO...
2020-11-19T11:18:12.229Z,0.00,0.01
2020-11-19T11:18:12.245Z,-0.00,-0.00
2020-11-19T11:18:12.261Z,0.00,0.00
2020-11-19T11:18:12.261Z,0.00,0.00
2020-11-19T11:18:12.276Z,0.00,-0.01
2020-11-19T11:18:12.292Z,-0.00,0.00
2020-11-19T11:18:12.309Z,0.00,0.00
2020-11-19T11:18:12.324Z,-0.00,-0.01
2020-11-19T11:18:12.325Z,0.00,-0.00
2020-11-19T11:18:12.340Z,-0.00,-0.00
2020-11-19T11:18:12.356Z,-0.00,-0.01
2020-11-19T11:18:12.372Z,-0.00,0.01
2020-11-19T11:18:12.388Z,-0.01,0.00
2020-11-19T11:18:12.389Z,0.00,-0.00
2020-11-19T11:18:12.405Z,0.00,-0.00
2020-11-19T11:18:12.420Z,0.00,0.00
2020-11-19T11:18:12.436Z,-0.00,0.01
2020-11-19T11:18:12.439Z,0.00,0.01
2020-11-19T11:18:12.452Z,-0.00,0.00
2020-11-19T11:18:12.468Z,0.00,-0.00
2020-11-19T11:18:12.484Z,0.00,0.00
2020-11-19T11:18:12.513Z,-0.00,-0.00
2020-11-19T11:18:12.514Z,0.00,0.00
2020-11-19T11:18:12.516Z,0.00,-0.00
2020-11-19T11:18:12.533Z,-0.00,-0.00
2020-11-19T11:18:12.548Z,0.00,0.00
2020-11-19T11:18:12.555Z,0.00,-0.00
2020-11-19T11:18:12.564Z,-0.00,0.00
2020-11-19T11:18:12.580Z,-0.00,0.01
2020-11-19T11:18:12.596Z,-0.00,-0.00
2020-11-19T11:18:12.612Z,-0.00,0.00
2020-11-19T11:18:12.612Z,-0.00,-0.00
2020-11-19T11:18:12.628Z,0.00,0.01
2020-11-19T11:18:12.644Z,-0.00,-0.00
2020-11-19T11:18:12.660Z,-0.00,0.00
2020-11-19T11:18:12.676Z,-0.00,0.00
2020-11-19T11:18:12.676Z,-0.00,-0.00
2020-11-19T11:18:12.691Z,0.00,0.00
2020-11-19T11:18:12.707Z,0.00,-0.00
2020-11-19T11:18:12.723Z,0.00,-0.00
2020-11-19T11:18:12.724Z,-0.00,0.00
2020-11-19T11:18:12.740Z,-0.00,-0.00
2020-11-19T11:18:12.755Z,-0.00,-0.01
2020-11-19T11:18:12.771Z,-0.00,0.00
2020-11-19T11:18:12.787Z,-0.00,-0.00
2020-11-19T11:18:12.803Z,-0.00,0.00
2020-11-19T11:18:12.806Z,0.00,-0.00
2020-11-19T11:18:12.819Z,-0.00,0.00
2020-11-19T11:18:12.835Z,0.00,-0.01
2020-11-19T11:18:12.851Z,-0.00,0.00
2020-11-19T11:18:12.867Z,0.00,-0.00
2020-11-19T11:18:12.872Z,-0.00,0.00
2020-11-19T11:18:12.883Z,0.00,-0.00
2020-11-19T11:18:12.899Z,0.00,-0.00
