timestamp,x,z
14:02:19:115,-0.073,-0.168
14:02:19:146,0.006,-0.179
14:02:19:182,-0.013,-0.222
14:02:19:213,-0.006,-0.17
14:02:19:240,-0.013,-0.177
14:02:19:276,-0.073,-0.156
14:02:19:307,-0.047,-0.153
14:02:19:338,0.01,-0.155
14:02:19:365,-0.092,-0.13
14:02:19:401,-0.088,-0.168
14:02:19:432,-0.027,-0.177
14:02:19:463,-0.03,-0.195
14:02:19:490,-0.095,-0.146
14:02:19:526,-0.057,-0.153
14:02:19:557,-0.05,-0.13
14:02:19:588,-0.063,-0.153
14:02:19:615,-0.099,-0.129
14:02:19:651,-0.115,-0.111
14:02:19:683,-0.077,-0.119
14:02:19:709,-0.038,-0.105
14:02:19:742,-0.081,-0.118
14:02:19:773,-0.078,-0.104
14:02:19:804,-0.101,-0.094
14:02:19:835,-0.064,-0.136
14:02:19:868,-0.111,-0.136
14:02:19:899,0.308,-0.235
14:02:19:930,0.291,-0.205
14:02:19:961,0.152,-0.183
14:02:19:994,-0.026,-0.158
14:02:20:025,-0.072,-0.16
14:02:20:056,0.005,-0.099
14:02:20:087,-0.07,-0.176
14:02:20:120,-0.134,-0.123
14:02:20:151,-0.067,-0.168
14:02:20:182,-0.006,-0.057
14:02:20:213,-0.038,-0.16
14:02:20:246,-0.125,-0.13
14:02:20:272,-0.077,-0.077
14:02:20:303,-0.042,-0.109
14:02:20:339,-0.035,-0.118
14:02:20:366,-0.12,-0.159
14:02:20:397,-0.085,-0.118
14:02:20:428,-0.012,-0.106
14:02:20:464,-0.06,-0.16
14:02:20:491,-0.13,-0.088
14:02:20:521,-0.064,-0.141
14:02:20:552,-0.048,-0.096
14:02:20:588,-0.035,-0.164
14:02:20:615,-0.113,-0.172
14:02:20:646,-0.065,-0.21
14:02:20:682,-0.079,-0.109
14:02:20:713,-0.071,-0.103
14:02:20:746,-0.088,-0.164
14:02:20:772,-0.063,-0.127
14:02:20:803,-0.066,-0.152
14:02:20:834,-0.031,-0.187
14:02:20:867,-0.064,0.035
14:02:20:898,-0.011,-0.031
14:02:20:929,-0.026,-0.115
14:02:20:960,-0.137,-0.139
14:02:20:993,-0.069,-0.127
14:02:21:024,-0.049,-0.115
14:02:21:055,-0.033,-0.122
14:02:21:086,-0.076,-0.151
14:02:21:119,-0.063,-0.166
14:02:21:150,-0.05,-0.099
14:02:21:181,-0.001,-0.134
14:02:21:212,-0.136,-0.082
14:02:21:245,-0.255,-0.057
14:02:21:276,-0.457,0.002
14:02:21:307,-0.334,-0.125
14:02:21:338,-0.171,0.015
14:02:21:371,-0.126,-0.058
14:02:21:397,-0.145,-0.055
14:02:21:428,-0.145,-0.09
14:02:21:465,-0.097,-0.032
14:02:21:492,-0.022,-0.077
14:02:21:522,-0.132,-0.034
14:02:21:553,-0.093,-0.058
14:02:21:584,-0.102,-0.005
14:02:21:617,-0.037,-0.017
14:02:21:648,-0.153,-0.039
14:02:21:679,-0.129,-0.049
14:02:21:710,-0.112,0.028
14:02:21:743,-0.078,-0.056
14:02:21:774,-0.108,-0.03
14:02:21:805,-0.023,-0.092
14:02:21:836,0.205,-0.304
14:02:21:869,0.485,-0.47
14:02:21:900,0.252,-0.218
14:02:21:931,0.061,-0.273
14:02:21:962,-0.053,-0.149
14:02:21:995,0.142,-0.061
14:02:22:027,0.068,-0.028
14:02:22:053,-0.072,-0.034
14:02:22:089,-0.087,-0.061
14:02:22:116,0.065,-0.023
14:02:22:147,0.011,-0.036
14:02:22:178,-0.139,-0.047
14:02:22:214,-0.065,-0.038
14:02:22:241,0.046,0.013
14:02:22:272,-0.314,0.141
14:02:22:303,-0.503,0.059
14:02:22:338,-0.298,0.016
14:02:22:365,0.016,0.009
14:02:22:401,-0.052,-0.038
14:02:22:432,-0.239,-0.105
14:02:22:463,-0.085,-0.116
14:02:22:490,0.056,-0.069
14:02:22:526,-0.036,-0.055
14:02:22:557,-0.193,-0.131
14:02:22:588,-0.03,-0.065
14:02:22:615,0.032,-0.098
14:02:22:651,-0.044,-0.071
14:02:22:682,-0.223,-0.075
14:02:22:713,-0.056,-0.108
14:02:22:746,0.07,-0.017
14:02:22:772,-0.117,-0.06
14:02:22:803,-0.167,-0.051
14:02:22:834,-0.029,-0.068
14:02:22:867,0.051,-0.045
14:02:22:898,-0.067,-0.012
14:02:22:929,-0.143,0.015
14:02:22:960,-0.032,-0.15
14:02:22:993,-0.01,-0.012
14:02:23:024,-0.035,-0.077
14:02:23:055,-0.132,-0.078
14:02:23:086,-0.024,-0.046
14:02:23:119,0.008,-0.086
14:02:23:150,-0.092,-0.051
14:02:23:181,-0.063,-0.069
14:02:23:212,-0.035,-0.054
14:02:23:245,0.02,-0.037
14:02:23:276,-0.084,-0.08
14:02:23:307,-0.054,-0.095
14:02:23:339,-0.023,-0.033
14:02:23:366,0.047,-0.124
14:02:23:397,-0.176,-0.172
14:02:23:428,-0.13,-0.13
14:02:23:459,-0.035,-0.312
14:02:23:492,-0.133,-0.189
14:02:23:523,-0.098,-0.378
14:02:23:554,-0.122,-0.094
14:02:23:636,-0.016,-0.175
14:02:23:667,-0.106,-0.145
14:02:23:694,0.014,-0.121
14:02:23:725,0.031,-0.144
14:02:23:756,-0.07,-0.122
14:02:23:789,-0.114,-0.077
14:02:23:822,-0.022,-0.118
14:02:23:853,-0.066,-0.103
14:02:23:884,-0.11,-0.101
14:02:23:917,-0.054,-0.075
14:02:23:944,-0.011,-0.109
14:02:23:975,-0.031,-0.081
14:02:24:006,-0.11,-0.066
14:02:24:039,-0.068,-0.059
14:02:24:072,-0.006,-0.108
14:02:24:103,-0.05,-0.081
14:02:24:134,-0.107,-0.09
14:02:24:169,-0.059,-0.091
14:02:24:195,-0.018,-0.089
14:02:24:226,-0.054,-0.054
14:02:24:257,-0.078,-0.151
14:02:24:290,-0.073,-0.093
14:02:24:323,-0.017,-0.077
14:02:24:354,-0.087,-0.059
14:02:24:385,-0.088,-0.127
14:02:24:418,-0.041,-0.035
14:02:24:445,-0.004,-0.073
14:02:24:476,0.087,-0.089
14:02:24:507,-0.115,-0.107
14:02:24:539,0.017,-0.072
14:02:24:572,0.062,-0.063
14:02:24:602,-0.043,-0.018
14:02:24:633,0.001,-0.091
14:02:24:666,-0.059,0.042
14:02:24:693,0.037,0.008
14:02:24:724,0.003,-0.003
14:02:24:760,-0.043,-0.061
14:02:24:787,-0.033,-0.163
14:02:24:820,-0.035,-0.09
14:02:24:851,-0.061,-0.08
14:02:24:882,-0.076,-0.171
14:02:24:915,-0.044,-0.051
14:02:24:948,-0.021,-0.096
14:02:24:979,-0.067,-0.173
14:02:25:010,-0.091,-0.062
14:02:25:043,-0.009,-0.132
14:02:25:070,-0.057,-0.069
14:02:25:101,-0.032,-0.127
14:02:25:132,-0.101,-0.093
14:02:25:165,-0.056,-0.101
14:02:25:198,0.006,-0.11
14:02:25:229,-0.037,-0.118
14:02:25:260,-0.092,-0.059
14:02:25:293,-0.008,-0.133
14:02:25:320,0.004,-0.079
14:02:25:351,-0.026,-0.155
14:02:25:382,-0.082,-0.074
14:02:25:415,0.009,-0.126
14:02:25:448,-0.006,-0.086
14:02:25:479,-0.042,-0.11
14:02:25:510,-0.073,-0.081
14:02:25:542,-0.081,-0.077
14:02:25:569,-0.366,0.104
14:02:25:600,-0.355,-0.039
14:02:25:631,-0.346,0.051
14:02:25:664,-0.079,-0.031
14:02:25:697,-0.076,0.006
14:02:25:728,-0.176,-0.036
14:02:25:759,-0.125,-0.04
14:02:25:792,-0.021,0.007
