Data info
File name: E:\Werk\jumat cipeles\CIPELES 26-11-2020 - AKSELEROMETER\kalibrasi jumat\kal 1_0116.dxd
Start time: 11/27/2020 14:24:16.330
Number of channels: 1
Sample rate: 100
Store type: always fast


Data1

Time (s)	AI 8 (um/m)
2.86	0.57421595
2.87	0.099617571
2.88	-0.53616518
2.89	-0.23170584
2.9	0.44885036
2.91	0.25184724
2.92	0.19811912
2.93	0.9592675
2.94	0.98613155
2.95	0.4040769
2.96	0.20707381
2.97	0.22498319
2.98	0.19811912
2.99	0.22498319
3	0.18916443
3.01	0.019025387
3.02	0.22498319
3.03	0.22498319
3.04	-0.16902304
3.05	0.036934759
3.06	0.6100347
3.07	0.70853627
3.08	0.58317065
3.09	0.64585346
3.1	0.93240345
3.11	1.371183
3.12	1.2816362
3.13	0.49362379
3.14	0.37721285
3.15	0.63689876
3.16	0.3413941
3.17	0.35930347
3.18	0.59212536
3.19	0.32348475
3.2	-0.097385541
3.21	-0.15111366
3.22	-0.39289021
3.23	-0.7152589
3.24	-0.070521481
3.25	0.24289255
3.26	0.35930347
3.27	0.90553939
3.28	0.68167222
3.29	-0.17797773
3.3	-0.36602613
3.31	0.18020974
3.32	0.29662067
3.33	0.063798822
3.34	-0.1242496
3.35	0.41303161
3.36	0.62794411
3.37	-0.17797773
3.38	0.16230038
3.39	0.71749097
3.4	-0.007838673
3.41	-0.4645277
3.42	-0.19588709
3.43	0.5563066
3.44	0.57421595
3.45	-0.52721053
3.46	-0.043657422
3.47	1.0398597
3.48	0.144391
3.49	-0.34811676
3.5	-0.061566792
3.51	-0.2585699
3.52	0.15334569
3.53	0.10857225
3.54	0.045889448
3.55	0.27871129
3.56	-0.35707146
3.57	-0.53616518
3.58	0.11752694
3.59	0.30557537
3.6	0.24289255
3.61	0.33243942
3.62	0.18020974
3.63	0.43989566
3.64	0.62794411
3.65	0.39512223
3.66	-0.07947617
3.67	-0.23170584
3.68	0.12648162
3.69	0.0011160135
3.7	-0.38393551
3.71	-0.13320428
3.72	0.5563066
3.73	0.43989566
3.74	0.20707381
3.75	0.53839719
3.76	0.48466909
3.77	0.0011160135
3.78	-0.43766364
3.79	0.0011160135
3.8	0.57421595
3.81	0.11752694
3.82	-0.50034642
3.83	-0.097385541
3.84	0.48466909
3.85	0.4040769
3.86	0.62794411
3.87	0.32348475
3.88	-0.45557302
3.89	-0.27647927
3.9	-0.19588709
3.91	-0.025748046
3.92	0.41303161
3.93	-0.15111366
3.94	-0.79585111
3.95	-0.37498084
3.96	0.51153314
3.97	0.57421595
3.98	0.3503488
3.99	0.60108
4	0.57421595
4.01	0.39512223
4.02	-0.24961522
4.03	-0.4645277
4.04	0.22498319
4.05	0.10857225
4.06	-0.31229803
4.07	-0.2675246
4.08	-0.052612107
4.09	-0.088430852
4.1	-0.13320428
4.11	0.39512223
4.12	0.53839719
4.13	-0.070521481
4.14	0.26975662
4.15	0.66376281
4.16	-0.16006835
4.17	0.18916443
4.18	1.1114972
4.19	0.83390188
4.2	0.53839719
4.21	0.51153314
4.22	0.27871129
4.23	0.2160285
4.24	-0.07947617
4.25	0.045889448
4.26	0.46675971
4.27	-0.43766364
4.28	-0.92121673
4.29	-0.034702733
4.3	0.81599253
4.31	0.70853627
4.32	0.045889448
4.33	0.144391
4.34	0.63689876
4.35	0.35930347
4.36	0.10857225
4.37	0.099617571
4.38	-0.15111366
4.39	-0.30334333
4.4	-0.07947617
4.41	0.5025785
4.42	0.51153314
4.43	0.4040769
4.44	0.65480816
4.45	0.19811912
4.46	-0.19588709
4.47	0.69958156
4.48	1.0488144
4.49	0.66376281
4.5	0.60108
4.51	0.6100347
4.52	0.65480816
4.53	0.75330973
4.54	1.0667237
4.55	0.95031279
4.56	0.61898941
4.57	0.6100347
4.58	0.5025785
4.59	0.51153314
4.6	0.47571442
4.61	-0.24066053
4.62	-0.50930113
4.63	0.19811912
4.64	0.019025387
4.65	-0.29438865
4.66	-0.097385541
4.67	0.090662882
4.68	0.70853627
4.69	0.97717685
4.7	1.630869
4.71	1.7293706
4.72	0.20707381
4.73	-0.4645277
4.74	0.027980074
4.75	-0.007838673
4.76	-0.13320428
4.77	0.13543631
4.78	0.11752694
4.79	-0.3212527
4.8	-0.043657422
4.81	0.41303161
4.82	0.23393787
4.83	-0.052612107
4.84	-0.68839484
4.85	-0.13320428
4.86	0.3413941
4.87	-0.025748046
4.88	0.16230038
4.89	0.19811912
4.9	0.39512223
4.91	0.35930347
4.92	0.28766599
4.93	0.36825818
4.94	0.23393787
4.95	0.33243942
4.96	0.22498319
4.97	0.18020974
4.98	0.58317065
4.99	0.38616756
5	0.16230038
5.01	0.30557537
5.02	0.027980074
5.03	0.43989566
5.04	0.52944255
5.05	0.019025387
5.06	0.6100347
5.07	0.58317065
5.08	-0.07947617
5.09	0.027980074
5.1	0.036934759
5.11	-0.16902304
5.12	-0.38393551
5.13	-0.45557302
5.14	0.11752694
5.15	0.12648162
5.16	-0.3212527
5.17	0.26975662
5.18	0.69062692
