timestamp,pitch
2020-11-21T07:49:14.912Z,85.15
2020-11-21T07:49:14.928Z,85.15
2020-11-21T07:49:14.928Z,85.15
2020-11-21T07:49:14.944Z,85.15
2020-11-21T07:49:14.948Z,85.15
2020-11-21T07:49:14.959Z,85.15
2020-11-21T07:49:14.964Z,85.15
2020-11-21T07:49:14.975Z,85.15
2020-11-21T07:49:14.976Z,85.15
2020-11-21T07:49:14.982Z,85.15
2020-11-21T07:49:14.991Z,85.29
2020-11-21T07:49:14.992Z,85.29
2020-11-21T07:49:15.007Z,85.29
2020-11-21T07:49:15.008Z,85.29
2020-11-21T07:49:15.023Z,85.29
2020-11-21T07:49:15.023Z,85.29
2020-11-21T07:49:15.039Z,85.29
2020-11-21T07:49:15.040Z,85.29
2020-11-21T07:49:15.055Z,85.29
2020-11-21T07:49:15.056Z,85.29
2020-11-21T07:49:15.056Z,85.21
2020-11-21T07:49:15.071Z,85.21
2020-11-21T07:49:15.072Z,85.21
2020-11-21T07:49:15.087Z,85.21
2020-11-21T07:49:15.087Z,85.21
2020-11-21T07:49:15.103Z,85.21
2020-11-21T07:49:15.103Z,85.21
2020-11-21T07:49:15.119Z,85.21
2020-11-21T07:49:15.132Z,85.21
2020-11-21T07:49:15.135Z,85.21
2020-11-21T07:49:15.135Z,84.94
2020-11-21T07:49:15.151Z,84.94
2020-11-21T07:49:15.151Z,84.94
2020-11-21T07:49:15.151Z,84.94
2020-11-21T07:49:15.167Z,84.94
2020-11-21T07:49:15.167Z,84.94
2020-11-21T07:49:15.183Z,84.94
2020-11-21T07:49:15.183Z,84.94
2020-11-21T07:49:15.198Z,84.94
2020-11-21T07:49:15.199Z,84.94
2020-11-21T07:49:15.214Z,84.90
2020-11-21T07:49:15.215Z,84.90
2020-11-21T07:49:15.230Z,84.90
2020-11-21T07:49:15.231Z,84.90
2020-11-21T07:49:15.231Z,84.90
2020-11-21T07:49:15.247Z,84.90
2020-11-21T07:49:15.248Z,84.90
2020-11-21T07:49:15.262Z,84.90
2020-11-21T07:49:15.264Z,84.90
2020-11-21T07:49:15.278Z,84.90
2020-11-21T07:49:15.280Z,85.05
2020-11-21T07:49:15.294Z,85.05
2020-11-21T07:49:15.297Z,85.05
2020-11-21T07:49:15.312Z,85.05
2020-11-21T07:49:15.314Z,85.05
2020-11-21T07:49:15.326Z,85.05
2020-11-21T07:49:15.329Z,85.05
2020-11-21T07:49:15.330Z,85.05
2020-11-21T07:49:15.342Z,85.05
2020-11-21T07:49:15.343Z,85.05
2020-11-21T07:49:15.358Z,84.92
2020-11-21T07:49:15.358Z,84.92
2020-11-21T07:49:15.379Z,84.92
2020-11-21T07:49:15.387Z,84.92
2020-11-21T07:49:15.390Z,84.92
2020-11-21T07:49:15.390Z,84.92
2020-11-21T07:49:15.406Z,84.92
